epoch,policy_loss,value_loss,total_loss
1,2.2013290891647337,0.0,2.2013290891647337
2,1.9532310009002685,0.0,1.9532310009002685
3,1.907569673538208,0.0,1.907569673538208
4,1.8834977836608886,0.0,1.8834977836608886
5,1.8643104782104492,0.0,1.8643104782104492
6,1.859131742477417,0.0,1.859131742477417
7,1.8469804105758667,0.0,1.8469804105758667
8,1.8420898551940919,0.0,1.8420898551940919
9,1.8407556571960448,0.0,1.8407556571960448
10,1.8461345481872558,0.0,1.8461345481872558
11,1.8467608013153076,0.0,1.8467608013153076
12,1.8373715438842773,0.0,1.8373715438842773
13,1.8295127716064452,0.0,1.8295127716064452
14,1.8235969018936158,0.0,1.8235969018936158
15,1.8264999227523804,0.0,1.8264999227523804
16,1.8243614006042481,0.0,1.8243614006042481
17,1.8276713695526123,0.0,1.8276713695526123
18,1.8244474439620972,0.0,1.8244474439620972
19,1.8213748912811278,0.0,1.8213748912811278
20,1.8220547828674316,0.0,1.8220547828674316
21,1.8125237636566163,0.0,1.8125237636566163
22,1.7942687854766846,0.0,1.7942687854766846
23,1.7900827827453614,0.0,1.7900827827453614
24,1.7874839248657226,0.0,1.7874839248657226
25,1.785820852279663,0.0,1.785820852279663
26,1.785270622253418,0.0,1.785270622253418
27,1.7844787178039552,0.0,1.7844787178039552
28,1.7841793575286866,0.0,1.7841793575286866
29,1.783908455848694,0.0,1.783908455848694
30,1.7833763732910157,0.0,1.7833763732910157
31,1.7830806522369385,0.0,1.7830806522369385
32,1.7827362632751464,0.0,1.7827362632751464
33,1.7827854499816895,0.0,1.7827854499816895
34,1.7827495737075805,0.0,1.7827495737075805
35,1.78318195438385,0.0,1.78318195438385
36,1.7835157546997071,0.0,1.7835157546997071
37,1.7836938171386718,0.0,1.7836938171386718
38,1.783823398590088,0.0,1.783823398590088
39,1.783438938140869,0.0,1.783438938140869
40,1.7845381202697754,0.0,1.7845381202697754
41,1.7827391452789307,0.0,1.7827391452789307
42,1.7798998804092407,0.0,1.7798998804092407
